3168	2	6	9	12	16	18	2
3167	4	5	6	9	20	37	6
3166	9	16	21	25	27	36	5
3165	11	13	17	24	34	36	1
3164	1	13	15	27	31	35	4
3163	11	17	25	33	35	36	3
3162	6	10	22	25	30	37	1
3161	1	14	25	29	30	33	3
3160	11	19	20	27	30	37	5
3159	6	10	11	24	32	36	4
3158	4	13	17	28	35	37	3
3157	1	10	28	31	32	35	6
3156	14	17	25	26	29	35	7
3155	3	4	7	18	22	23	2
3154	13	15	16	28	31	32	6
3153	1	10	12	14	27	29	2
3152	4	18	19	23	24	37	5
3151	8	18	26	29	31	36	4
3150	1	28	29	30	32	34	5
3149	10	11	14	24	27	35	3
3148	17	22	26	28	34	36	5
3147	3	10	11	17	24	36	7
3146	4	11	16	25	35	36	6
3145	1	9	13	19	20	34	5
3144	4	7	8	9	16	31	1
3143	4	13	17	19	25	37	1
3142	3	13	14	20	22	23	3
3141	10	12	15	19	27	28	3
3140	1	6	19	22	25	32	5
3139	4	5	19	24	31	37	6
3138	1	4	11	14	17	22	2
3137	3	10	16	25	29	32	1
3136	17	20	22	24	28	32	7
3135	3	27	29	31	32	33	3
3134	1	8	13	21	25	31	5
3133	1	12	16	20	30	36	6
3132	6	18	19	23	24	28	4
3131	7	8	11	14	16	22	5
3130	9	10	11	13	15	21	3
3129	1	12	17	21	25	26	2
3128	8	19	26	30	31	36	2
3127	2	8	15	27	31	35	4
3126	1	8	15	22	31	35	4
3125	12	13	15	17	25	31	2
3124	10	13	14	19	20	25	6
3123	1	3	6	9	14	28	1
3122	3	4	5	18	23	29	4
3121	4	5	19	25	31	32	3
3120	1	11	17	21	33	34	1
3119	4	6	10	18	22	25	6
3118	1	15	20	22	23	1	4
3117	3	5	7	18	23	27	7
3116	3	22	24	25	28	37	6
3115	7	11	12	25	28	31	6
3114	6	20	25	30	33	35	1
3113	12	14	15	18	20	21	5
3112	11	14	19	20	21	26	2
3111	2	21	25	27	28	36	6
3110	20	25	28	34	36	37	6
3109	5	6	12	16	29	34	5
3108	12	15	21	24	30	32	7
3107	3	9	23	24	25	26	2
3106	3	9	11	13	21	25	7
3105	10	11	17	21	23	32	7
3104	3	7	9	21	22	33	7
3103	4	13	18	22	28	34	3
3102	1	6	12	17	22	26	6
3101	11	18	19	25	35	37	5
3100	1	13	20	25	31	33	2
3099	11	12	26	34	36	37	2
3098	3	10	13	17	33	37	2
3097	4	9	17	26	27	37	2
3096	6	7	17	28	33	36	7
3095	8	15	20	24	25	33	4
3094	5	8	14	15	18	25	3
3093	6	9	13	20	26	36	7
3092	8	14	20	23	24	28	4
3091	7	13	15	16	20	31	7
3090	3	7	11	17	19	31	6
3089	12	13	19	21	35	36	6
3088	6	9	10	11	18	29	5
3087	16	17	19	29	34	37	4
3086	3	16	19	22	25	26	2
3085	1	3	4	13	23	28	5
3084	1	10	18	25	31	36	6
3083	15	21	23	27	36	37	3
3082	8	11	13	18	25	31	6
3081	1	3	7	9	15	22	2
3080	7	8	25	31	32	35	7
3079	3	5	8	18	19	29	2
3078	2	12	14	18	22	25	7
3077	3	5	16	18	21	26	2
3076	6	16	23	24	30	33	1
3075	9	20	25	27	34	37	2
3074	16	18	20	22	24	25	4
3073	8	9	13	14	27	29	5
3072	2	7	9	19	24	25	7
3071	4	8	13	20	27	29	6
3070	6	7	11	17	22	29	6
3069	11	17	19	25	27	28	2
3068	4	16	23	29	35	36	4
3067	7	20	21	25	35	37	3
3066	8	13	14	27	30	37	6
3065	1	5	15	17	23	37	5
3064	6	16	21	27	28	29	1
3063	1	3	13	17	21	32	1
3062	7	14	18	27	34	37	7
3061	4	12	21	24	35	37	7
3060	1	8	15	16	20	31	6
3059	6	13	22	25	29	37	5
3058	7	11	18	20	21	22	1
3057	2	12	16	17	28	36	4
3056	4	8	13	18	21	32	7
3055	7	8	11	20	30	37	7
3054	4	6	20	23	28	34	2
3053	1	4	7	8	12	16	1
3052	7	9	12	16	27	33	4
3051	9	18	24	28	30	36	7
3050	1	4	27	34	36	37	7
3049	10	13	18	26	31	33	4
3048	1	5	11	12	22	27	2
3047	1	3	18	20	23	37	4
3046	7	13	16	18	19	28	5
3045	4	5	8	25	26	33	7
3044	2	6	17	22	30	33	5
3043	9	16	22	23	25	28	3
3042	2	9	11	16	23	35	1
3041	2	14	25	26	32	33	4
3040	6	9	26	29	36	37	1
3039	2	9	15	26	29	35	5
3038	3	11	13	25	28	35	1
3037	13	19	21	27	29	32	3
3036	11	22	27	32	34	36	3
3035	2	7	8	9	10	15	2
3034	8	11	22	29	30	32	1
3033	7	13	15	19	28	36	6
3032	5	7	11	12	28	34	5
3031	2	9	11	13	19	28	3
3030	1	3	29	30	32	37	3
3029	2	9	13	17	21	26	6
3028	19	26	30	31	33	35	3
3027	5	7	11	14	23	36	2
3026	8	10	18	23	29	30	7
3025	5	9	10	12	34	35	1
3024	8	10	14	17	25	34	5
3023	1	3	11	15	26	32	7
3022	1	8	19	22	34	35	6
3021	9	20	22	23	27	32	7
3020	12	13	16	20	21	32	2
3019	18	21	23	25	27	34	7
3018	1	13	26	31	34	37	4
3017	7	10	21	27	33	36	5
3016	2	4	10	14	23	28	6
3015	6	10	18	23	33	36	6
3014	4	8	11	29	34	35	7
3013	2	14	18	23	30	32	4
3012	10	12	22	23	30	37	5
3011	4	6	9	12	32	36	1
3010	4	6	7	10	11	18	2
3009	5	11	16	18	23	26	1
3008	13	15	26	27	29	37	7
3007	6	7	12	22	23	28	6
3006	2	10	11	22	28	33	6
3005	5	11	12	18	28	35	3
3004	1	7	11	22	24	34	2
3003	1	23	26	31	33	37	5
3002	3	10	11	20	24	30	2
3001	1	2	3	13	22	30	7
3000	2	9	17	23	27	31	1
2999	2	5	8	20	22	28	3
2998	5	6	11	13	21	30	5
2997	7	8	10	19	27	37	6
2996	22	24	28	29	30	33	4
2995	3	25	26	30	31	34	3
2994	9	11	15	22	28	32	2
2993	4	11	13	24	25	34	5
2992	1	2	3	10	16	37	5
2991	5	10	12	19	20	25	4
2990	2	6	9	13	35	37	3
2989	5	6	10	12	18	26	2
2988	1	3	5	17	18	26	5
2987	2	5	11	12	15	33	6
2986	4	5	11	16	18	20	6
2985	17	19	20	27	29	33	1
2984	5	13	15	23	28	35	2
2983	2	6	17	21	30	35	3
2982	5	21	22	25	32	36	6
2981	9	16	22	26	28	37	1
2980	7	13	16	17	29	34	1
2979	3	6	11	16	26	34	6
2978	3	12	15	20	23	26	4
2977	7	11	23	30	32	34	1
2976	6	11	13	29	32	34	2
2975	2	6	12	18	26	28	1
2974	1	3	12	23	28	31	4
2973	4	6	7	10	20	28	1
2972	3	6	17	18	34	36	2
2971	6	7	8	17	18	29	1
2970	3	18	19	29	36	37	6
2969	7	9	25	30	31	36	1
2968	3	9	11	12	28	35	4
2967	3	6	10	11	26	29	6
2966	2	10	15	17	25	33	6
2965	10	18	27	30	32	37	1
2964	6	7	18	21	26	33	3
2963	15	20	27	28	29	37	3
2962	4	8	13	17	28	33	6
2961	6	10	14	20	31	37	6
2960	6	16	21	25	32	33	7
2959	1	6	8	17	19	24	3
2958	16	22	27	29	33	36	7
2957	20	23	27	28	30	34	3
2956	1	8	10	12	29	34	1
2955	1	6	23	33	34	36	6
2954	6	8	24	28	30	35	5
2953	3	6	9	14	16	35	7
2952	1	6	7	12	34	35	6
2951	23	25	28	30	31	34	3
2950	2	3	12	22	25	27	7
2949	15	20	24	25	29	30	5
2948	8	15	21	23	29	37	2
2947	6	18	26	31	34	37	1
2946	12	18	20	23	25	37	5
2945	4	5	11	27	32	37	1
2944	2	4	12	28	30	32	7
2943	1	2	15	28	29	32	6
2942	3	10	18	20	24	33	2
2941	5	16	20	24	29	34	4
2940	6	8	11	23	25	32	1
2939	2	4	5	9	12	27	5
2938	9	20	21	24	25	37	7
2937	5	6	9	11	15	23	2
2936	7	12	15	18	23	28	1
2935	13	20	25	28	29	30	1
2934	3	6	13	15	28	31	1
2933	1	8	14	21	25	31	1
2932	1	3	22	26	29	36	5
2931	5	10	15	22	25	33	1
2930	12	13	25	27	31	33	3
2929	5	8	10	26	29	35	6
2928	6	17	28	30	32	33	6
2927	6	8	12	14	28	34	4
2926	20	22	29	31	32	33	3
2925	13	17	26	31	35	37	4
2924	4	7	11	12	15	37	4
2923	6	9	21	31	34	35	4
2922	4	10	17	23	28	37	5
2921	1	5	26	31	34	35	4
2920	12	14	19	27	31	34	4
2919	6	7	11	12	23	30	3
2918	7	10	14	17	27	29	4
2917	3	10	20	22	33	37	3
2916	3	5	8	11	22	33	5
2915	9	18	22	24	27	34	6
2914	11	21	22	24	26	30	3
2913	4	8	15	24	36	37	5
2912	19	20	21	24	34	35	5
2911	8	9	14	22	32	33	7
2910	2	3	8	11	26	29	6
2909	2	9	17	19	34	35	2
2908	4	7	10	20	22	26	7
2907	6	12	23	25	26	35	4
2906	4	19	22	28	31	33	7
2905	3	5	10	13	26	27	4
2904	8	18	21	22	26	33	1
2903	10	11	14	17	19	26	5
2902	1	9	14	15	19	25	6
2901	10	13	15	22	32	33	7
2900	2	8	17	20	27	31	7
2899	1	3	8	10	11	31	3
2898	8	13	27	28	30	36	2
2897	3	20	24	27	32	37	2
2896	5	6	18	19	21	36	6
2895	1	7	11	15	20	30	5
2894	2	7	11	23	25	29	4
2893	5	6	7	16	17	33	4
2892	19	21	24	25	30	36	5
2891	4	8	11	13	24	32	6
2890	9	20	27	28	30	34	1
2889	2	8	10	16	18	27	5
2888	3	6	12	25	28	36	7
2887	4	7	10	22	27	36	6
2886	7	11	18	21	25	29	7
2885	5	6	7	24	27	32	5
2884	4	5	16	24	33	34	2
2883	6	14	15	18	22	36	4
2882	13	15	21	23	30	36	6
2881	14	15	16	24	32	36	1
2880	3	8	10	11	26	36	2
2879	3	10	13	18	25	26	6
2878	3	11	22	24	33	36	7
2877	13	20	26	30	31	34	2
2876	11	13	18	20	25	29	7
2875	10	11	17	19	26	30	5
2874	3	8	9	12	27	33	3
2873	5	7	13	15	18	23	2
2872	1	6	18	24	28	35	2
2871	3	27	28	30	31	35	7
2870	6	8	14	19	20	37	5
2869	16	18	19	30	31	32	3
2868	12	15	17	18	22	26	1
2867	5	12	16	22	27	31	4
2866	4	22	24	25	26	29	6
2865	1	6	11	14	17	27	4
2864	5	8	11	16	22	29	6
2863	10	13	16	17	26	34	7
2862	8	9	12	13	29	34	5
2861	3	9	14	15	21	22	3
2860	5	7	10	15	26	37	7
2859	14	15	19	31	34	35	3
2858	5	6	9	17	24	31	7
2857	1	3	6	27	29	33	7
2856	11	13	27	30	32	34	6
2855	8	10	12	24	25	29	3
2854	5	8	21	28	31	35	2
2853	1	3	4	10	16	17	1
